X	Y	Z	Vx	Vy	Vz
4.0404E-02	1.4141E-01	0.0000E+00	-3.5053E-13	-1.0242E-12	0.0000E+00
8.0808E-02	1.4141E-01	0.0000E+00	-6.7043E-13	-1.0259E-12	0.0000E+00
1.2121E-01	1.4141E-01	0.0000E+00	-9.3038E-13	-1.0285E-12	0.0000E+00
1.6162E-01	1.4141E-01	0.0000E+00	-1.1079E-12	-1.0315E-12	0.0000E+00
2.0202E-01	1.4141E-01	0.0000E+00	-1.1991E-12	-1.0346E-12	0.0000E+00
2.4242E-01	1.4141E-01	0.0000E+00	-1.2058E-12	-1.0375E-12	0.0000E+00
2.8283E-01	1.4141E-01	0.0000E+00	-1.1356E-12	-1.0399E-12	0.0000E+00
3.2323E-01	1.4141E-01	0.0000E+00	-1.0072E-12	-1.0415E-12	0.0000E+00
3.6364E-01	1.4141E-01	0.0000E+00	-8.4285E-13	-1.0423E-12	0.0000E+00
4.0404E-01	1.4141E-01	0.0000E+00	-6.6327E-13	-1.0422E-12	0.0000E+00
4.4444E-01	1.4141E-01	0.0000E+00	-4.8643E-13	-1.0415E-12	0.0000E+00
4.8485E-01	1.4141E-01	0.0000E+00	-3.2857E-13	-1.0404E-12	0.0000E+00
5.2525E-01	1.4141E-01	0.0000E+00	-1.9931E-13	-1.0392E-12	0.0000E+00
5.6566E-01	1.4141E-01	0.0000E+00	-9.3666E-14	-1.0383E-12	0.0000E+00
6.0606E-01	1.4141E-01	0.0000E+00	0.0000E+00	-1.0380E-12	0.0000E+00
0.0000E+00	1.6162E-01	0.0000E+00	0.0000E+00	-1.1016E-12	0.0000E+00
2.0202E-02	1.6162E-01	0.0000E+00	-1.7748E-13	-1.1017E-12	0.0000E+00
4.0404E-02	1.6162E-01	0.0000E+00	-3.5112E-13	-1.1021E-12	0.0000E+00
6.0606E-02	1.6162E-01	0.0000E+00	-5.1703E-13	-1.1028E-12	0.0000E+00
8.0808E-02	1.6162E-01	0.0000E+00	-6.7154E-13	-1.1038E-12	0.0000E+00
1.0101E-01	1.6162E-01	0.0000E+00	-8.1092E-13	-1.1050E-12	0.0000E+00
1.2121E-01	1.6162E-01	0.0000E+00	-9.3186E-13	-1.1064E-12	0.0000E+00
1.4141E-01	1.6162E-01	0.0000E+00	-1.0315E-12	-1.1079E-12	0.0000E+00
1.6162E-01	1.6162E-01	0.0000E+00	-1.1095E-12	-1.1095E-12	0.0000E+00
1.8182E-01	1.6162E-01	0.0000E+00	-1.1657E-12	-1.1110E-12	0.0000E+00
2.0202E-01	1.6162E-01	0.0000E+00	-1.2006E-12	-1.1126E-12	0.0000E+00
2.2222E-01	1.6162E-01	0.0000E+00	-1.2142E-12	-1.1141E-12	0.0000E+00
2.4242E-01	1.6162E-01	0.0000E+00	-1.2071E-12	-1.1156E-12	0.0000E+00
2.6263E-01	1.6162E-01	0.0000E+00	-1.1805E-12	-1.1168E-12	0.0000E+00
2.8283E-01	1.6162E-01	0.0000E+00	-1.1365E-12	-1.1180E-12	0.0000E+00
3.0303E-01	1.6162E-01	0.0000E+00	-1.0779E-12	-1.1189E-12	0.0000E+00
3.2323E-01	1.6162E-01	0.0000E+00	-1.0077E-12	-1.1196E-12	0.0000E+00
3.4343E-01	1.6162E-01	0.0000E+00	-9.2840E-13	-1.1201E-12	0.0000E+00
3.6364E-01	1.6162E-01	0.0000E+00	-8.4285E-13	-1.1203E-12	0.0000E+00
3.8384E-01	1.6162E-01	0.0000E+00	-7.5358E-13	-1.1204E-12	0.0000E+00
4.0404E-01	1.6162E-01	0.0000E+00	-6.6290E-13	-1.1203E-12	0.0000E+00
4.2424E-01	1.6162E-01	0.0000E+00	-5.7301E-13	-1.1200E-12	0.0000E+00
4.4444E-01	1.6162E-01	0.0000E+00	-4.8579E-13	-1.1195E-12	0.0000E+00
4.6465E-01	1.6162E-01	0.0000E+00	-4.0347E-13	-1.1190E-12	0.0000E+00
4.8485E-01	1.6162E-01	0.0000E+00	-3.2782E-13	-1.1183E-12	0.0000E+00
5.0505E-01	1.6162E-01	0.0000E+00	-2.5963E-13	-1.1177E-12	0.0000E+00
5.2525E-01	1.6162E-01	0.0000E+00	-1.9869E-13	-1.1171E-12	0.0000E+00
5.4545E-01	1.6162E-01	0.0000E+00	-1.4381E-13	-1.1166E-12	0.0000E+00
5.6566E-01	1.6162E-01	0.0000E+00	-9.3331E-14	-1.1163E-12	0.0000E+00
5.8586E-01	1.6162E-01	0.0000E+00	-4.5899E-14	-1.1160E-12	0.0000E+00
6.0606E-01	1.6162E-01	0.0000E+00	0.0000E+00	-1.1160E-12	0.0000E+00
0.0000E+00	1.8182E-01	0.0000E+00	0.0000E+00	-1.1579E-12	0.0000E+00
4.0404E-02	1.8182E-01	0.0000E+00	-3.5170E-13	-1.1585E-12	0.0000E+00
8.0808E-02	1.8182E-01	0.0000E+00	-6.7266E-13	-1.1602E-12	0.0000E+00
1.2121E-01	1.8182E-01	0.0000E+00	-9.3334E-13	-1.1627E-12	0.0000E+00
1.6162E-01	1.8182E-01	0.0000E+00	-1.1110E-12	-1.1657E-12	0.0000E+00
2.0202E-01	1.8182E-01	0.0000E+00	-1.2021E-12	-1.1688E-12	0.0000E+00
2.4242E-01	1.8182E-01	0.0000E+00	-1.2084E-12	-1.1717E-12	0.0000E+00
2.8283E-01	1.8182E-01	0.0000E+00	-1.1374E-12	-1.1740E-12	0.0000E+00
3.2323E-01	1.8182E-01	0.0000E+00	-1.0081E-12	-1.1756E-12	0.0000E+00
3.6364E-01	1.8182E-01	0.0000E+00	-8.4284E-13	-1.1763E-12	0.0000E+00
4.0404E-01	1.8182E-01	0.0000E+00	-6.6252E-13	-1.1762E-12	0.0000E+00
4.4444E-01	1.8182E-01	0.0000E+00	-4.8513E-13	-1.1755E-12	0.0000E+00
4.8485E-01	1.8182E-01	0.0000E+00	-3.2705E-13	-1.1743E-12	0.0000E+00
5.2525E-01	1.8182E-01	0.0000E+00	-1.9806E-13	-1.1731E-12	0.0000E+00
5.6566E-01	1.8182E-01	0.0000E+00	-9.2988E-14	-1.1722E-12	0.0000E+00
6.0606E-01	1.8182E-01	0.0000E+00	0.0000E+00	-1.1719E-12	0.0000E+00
0.0000E+00	2.0202E-01	0.0000E+00	0.0000E+00	-1.1931E-12	0.0000E+00
2.0202E-02	2.0202E-01	0.0000E+00	-1.7807E-13	-1.1932E-12	0.0000E+00
4.0404E-02	2.0202E-01	0.0000E+00	-3.5229E-13	-1.1936E-12	0.0000E+00
6.0606E-02	2.0202E-01	0.0000E+00	-5.1875E-13	-1.1943E-12	0.0000E+00
8.0808E-02	2.0202E-01	0.0000E+00	-6.7376E-13	-1.1952E-12	0.0000E+00
1.0101E-01	2.0202E-01	0.0000E+00	-8.1357E-13	-1.1963E-12	0.0000E+00
1.2121E-01	2.0202E-01	0.0000E+00	-9.3480E-13	-1.1976E-12	0.0000E+00
1.4141E-01	2.0202E-01	0.0000E+00	-1.0346E-12	-1.1991E-12	0.0000E+00
1.6162E-01	2.0202E-01	0.0000E+00	-1.1126E-12	-1.2006E-12	0.0000E+00
1.8182E-01	2.0202E-01	0.0000E+00	-1.1688E-12	-1.2021E-12	0.0000E+00
2.0202E-01	2.0202E-01	0.0000E+00	-1.2035E-12	-1.2035E-12	0.0000E+00
2.2222E-01	2.0202E-01	0.0000E+00	-1.2170E-12	-1.2050E-12	0.0000E+00
2.4242E-01	2.0202E-01	0.0000E+00	-1.2096E-12	-1.2063E-12	0.0000E+00
2.6263E-01	2.0202E-01	0.0000E+00	-1.1827E-12	-1.2075E-12	0.0000E+00
2.8283E-01	2.0202E-01	0.0000E+00	-1.1383E-12	-1.2086E-12	0.0000E+00
3.0303E-01	2.0202E-01	0.0000E+00	-1.0792E-12	-1.2094E-12	0.0000E+00
3.2323E-01	2.0202E-01	0.0000E+00	-1.0085E-12	-1.2101E-12	0.0000E+00
3.4343E-01	2.0202E-01	0.0000E+00	-9.2879E-13	-1.2105E-12	0.0000E+00
3.6364E-01	2.0202E-01	0.0000E+00	-8.4282E-13	-1.2107E-12	0.0000E+00
3.8384E-01	2.0202E-01	0.0000E+00	-7.5316E-13	-1.2108E-12	0.0000E+00
4.0404E-01	2.0202E-01	0.0000E+00	-6.6213E-13	-1.2106E-12	0.0000E+00
4.2424E-01	2.0202E-01	0.0000E+00	-5.7193E-13	-1.2103E-12	0.0000E+00
4.4444E-01	2.0202E-01	0.0000E+00	-4.8446E-13	-1.2099E-12	0.0000E+00
4.6465E-01	2.0202E-01	0.0000E+00	-4.0197E-13	-1.2093E-12	0.0000E+00
4.8485E-01	2.0202E-01	0.0000E+00	-3.2627E-13	-1.2087E-12	0.0000E+00
5.0505E-01	2.0202E-01	0.0000E+00	-2.5816E-13	-1.2081E-12	0.0000E+00
5.2525E-01	2.0202E-01	0.0000E+00	-1.9743E-13	-1.2075E-12	0.0000E+00
5.4545E-01	2.0202E-01	0.0000E+00	-1.4281E-13	-1.2070E-12	0.0000E+00
5.6566E-01	2.0202E-01	0.0000E+00	-9.2644E-14	-1.2067E-12	0.0000E+00
5.8586E-01	2.0202E-01	0.0000E+00	-4.5549E-14	-1.2064E-12	0.0000E+00
6.0606E-01	2.0202E-01	0.0000E+00	0.0000E+00	-1.2064E-12	0.0000E+00
0.0000E+00	2.2222E-01	0.0000E+00	0.0000E+00	-1.2071E-12	0.0000E+00
